127.0.0.1 - - [30/Jan/2026:09:41:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:41:59 +0530] "GET /SpringHibernateEx/EmployShow.jsp HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:42:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:46:04 +0530] "GET /SpringHibernateEx/EmployShow.jsp HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:46:06 +0530] "GET /SpringHibernateEx/updateemploy.jsp?empno=1 HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:46:09 +0530] "GET /SpringHibernateEx/deleteemploy.jsp?empno=1 HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:50:28 +0530] "GET /SpringHibernateEx/updateemploy.jsp?empno=1 HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:50:38 +0530] "GET /SpringHibernateEx/updateemploy.jsp?empno=28 HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:52:55 +0530] "POST /SpringHibernateEx/updateemploy.jsp HTTP/1.1" 500 5533
0:0:0:0:0:0:0:1 - - [30/Jan/2026:09:56:37 +0530] "POST /SpringHibernateEx/updateemploy.jsp HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:07:38 +0530] "POST /SpringHibernateEx/updateemploy.jsp HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:07:44 +0530] "GET /SpringHibernateEx/deleteemploy.jsp?empno=28 HTTP/1.1" 500 3182
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:08:40 +0530] "POST /SpringHibernateEx/updateemploy.jsp HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:08:42 +0530] "GET /SpringHibernateEx/deleteemploy.jsp?empno=28 HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:19:17 +0530] "GET /SpringHibernateEx/EmployShow.jsp HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:19:38 +0530] "GET /SpringHibernateEx/EmployShow.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:19:40 +0530] "GET /SpringHibernateEx/addemploy.jsp HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:19:48 +0530] "GET /SpringHibernateEx/addemploy.jsp?empno=32&name=Rajesh&gender=MALE&dept=DOTNET&desig=Developer&basic=87422 HTTP/1.1" 500 18345
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:21:18 +0530] "GET /SpringHibernateEx/addemploy.jsp?empno=32&name=Rajesh&gender=MALE&dept=DOTNET&desig=Developer&basic=87422 HTTP/1.1" 500 18377
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:22:24 +0530] "GET /SpringHibernateEx/EmployShow.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:24:56 +0530] "GET /SpringHibernateEx/addemploy.jsp HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [30/Jan/2026:10:25:06 +0530] "GET /SpringHibernateEx/addemploy.jsp?empno=32&name=Rajesh&gender=MALE&dept=DOTNET&desig=Developer&basic=87422 HTTP/1.1" 200 3771
